time,x,y,z,yaw,setpoint_x,setpoint_y,setpoint_z,setpoint_yaw,setpoint_speed,current_speed,mode,distance_to_target
0.064,-3.611732,-1.301143,0.409997,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,IDLE,11.027
0.096,-3.611732,-1.301143,0.413345,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,IDLE,11.027
0.128,-3.611732,-1.301143,0.417982,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,IDLE,11.027
0.160,-3.611732,-1.301143,0.423909,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,IDLE,11.027
0.192,-3.611732,-1.301143,0.431087,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,IDLE,11.027
0.224,-3.611732,-1.301143,0.439476,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,IDLE,11.027
0.256,-3.611732,-1.301143,0.449040,0.000000,-3.611732,-1.301143,2.000000,0.000000,0.000,0.000,IDLE,11.027
0.288,-3.611732,-1.301142,0.459741,0.000000,-3.611732,-1.301142,2.000000,0.000000,0.000,0.000,IDLE,11.027
0.320,-3.611732,-1.301142,0.471545,0.000000,-3.611732,-1.301142,2.000000,0.000000,0.000,0.000,IDLE,11.027
0.352,-3.611731,-1.301142,0.484415,0.000000,-3.611731,-1.301142,2.000000,0.000000,0.000,0.000,IDLE,11.027
0.384,-3.611731,-1.301142,0.498319,0.000000,-3.611731,-1.301142,2.000000,0.000000,0.000,0.000,IDLE,11.027
0.416,-3.611731,-1.301142,0.513222,0.000000,-3.611731,-1.301142,2.000000,0.000000,0.000,0.000,IDLE,11.027
0.448,-3.611731,-1.301141,0.529095,0.000000,-3.611731,-1.301141,2.000000,0.000000,0.000,0.000,IDLE,11.027
0.480,-3.611731,-1.301141,0.545904,0.000000,-3.611731,-1.301141,2.000000,0.000000,0.000,0.000,IDLE,11.027
0.512,-3.611730,-1.301141,0.563619,0.000000,-3.611730,-1.301141,2.000000,0.000000,0.000,0.000,IDLE,11.027
0.544,-3.611730,-1.301141,0.582212,0.000000,-3.611730,-1.301141,2.000000,0.000000,0.000,0.000,IDLE,11.027
0.576,-3.611730,-1.301140,0.601654,0.000000,-3.611730,-1.301140,2.000000,0.000000,0.000,0.000,IDLE,11.027
0.608,-3.611730,-1.301140,0.621917,0.000000,-3.611730,-1.301140,2.000000,0.000000,0.000,0.000,IDLE,11.027
0.640,-3.611729,-1.301140,0.642974,0.000000,-3.611729,-1.301140,2.000000,0.000000,0.000,0.000,IDLE,11.027
