time,x,y,z,yaw_deg,cmd_yaw_deg,forward_speed,bearing_angle,bearing_valid,bearing_weight,grad_angle,grad_mag,grad_valid,grad_weight,map_size,total_light,dist_to_target
0.064,-3.611732,-1.301143,0.409997,0.0000,0.0000,0.000,54.8908,1,1.00,0.0000,0.0000,0,0.00,0,608.091,11.0265
0.096,-3.611732,-1.301143,0.413345,0.0000,0.0000,0.000,54.8908,1,1.00,0.0000,0.0000,0,0.00,0,608.140,11.0265
0.128,-3.611732,-1.301143,0.417982,0.0000,0.0000,0.000,54.8908,1,1.00,0.0000,0.0000,0,0.00,0,608.207,11.0265
0.160,-3.611732,-1.301143,0.423909,0.0000,0.0000,0.000,54.8908,1,1.00,0.0000,0.0000,0,0.00,0,608.293,11.0265
0.192,-3.611732,-1.301143,0.431087,0.0000,0.0000,0.000,54.8907,1,1.00,0.0000,0.0000,0,0.00,0,608.395,11.0265
0.224,-3.611732,-1.301143,0.439476,0.0000,0.0000,0.000,54.8907,1,1.00,0.0000,0.0000,0,0.00,0,608.514,11.0265
0.256,-3.611732,-1.301143,0.449040,0.0000,0.0000,0.000,54.8906,1,1.00,0.0000,0.0000,0,0.00,0,608.649,11.0265
0.288,-3.611732,-1.301142,0.459741,0.0000,0.0000,0.000,54.8906,1,1.00,0.0000,0.0000,0,0.00,0,608.798,11.0265
0.320,-3.611732,-1.301142,0.471545,0.0000,0.0000,0.000,54.8905,1,1.00,0.0000,0.0000,0,0.00,0,608.960,11.0265
0.352,-3.611731,-1.301142,0.484415,0.0000,0.0000,0.000,54.8904,1,1.00,0.0000,0.0000,0,0.00,0,609.134,11.0265
0.384,-3.611731,-1.301142,0.498319,0.0000,0.0000,0.000,54.8903,1,1.00,0.0000,0.0000,0,0.00,0,609.320,11.0265
0.416,-3.611731,-1.301142,0.513222,0.0000,0.0000,0.000,54.8903,1,1.00,0.0000,0.0000,0,0.00,0,609.516,11.0265
0.448,-3.611731,-1.301141,0.529095,0.0000,0.0000,0.000,54.8902,1,1.00,0.0000,0.0000,0,0.00,0,609.721,11.0265
0.480,-3.611731,-1.301141,0.545904,0.0000,0.0000,0.000,54.8901,1,1.00,0.0000,0.0000,0,0.00,0,609.934,11.0265
0.512,-3.611730,-1.301141,0.563619,0.0000,0.0000,0.000,54.8900,1,1.00,0.0000,0.0000,0,0.00,0,610.154,11.0265
0.544,-3.611730,-1.301141,0.582212,0.0000,0.0000,0.000,54.8899,1,1.00,0.0000,0.0000,0,0.00,0,610.380,11.0265
0.576,-3.611730,-1.301140,0.601654,0.0000,0.0000,0.000,54.8897,1,1.00,0.0000,0.0000,0,0.00,0,610.610,11.0265
0.608,-3.611730,-1.301140,0.621917,0.0000,0.0000,0.000,54.8896,1,1.00,0.0000,0.0000,0,0.00,0,610.844,11.0265
0.640,-3.611729,-1.301140,0.642974,0.0000,0.0000,0.000,54.8895,1,1.00,0.0000,0.0000,0,0.00,0,611.080,11.0265
0.672,-3.611729,-1.301139,0.664655,0.0000,0.0000,0.000,54.8894,1,1.00,0.0000,0.0000,0,0.00,0,611.317,11.0265
0.704,-3.611729,-1.301139,0.686825,0.0000,0.0000,0.000,54.8893,1,1.00,0.0000,0.0000,0,0.00,0,611.551,11.0265
0.736,-3.611729,-1.301139,0.709387,0.0000,0.0000,0.000,54.8892,1,1.00,0.0000,0.0000,0,0.00,0,611.782,11.0265
0.768,-3.611728,-1.301139,0.732258,0.0000,0.0000,0.000,54.8890,1,1.00,0.0000,0.0000,0,0.00,0,612.008,11.0265
0.800,-3.611728,-1.301139,0.755364,0.0000,0.0000,0.000,54.8889,1,1.00,0.0000,0.0000,0,0.00,0,612.229,11.0265
0.832,-3.611728,-1.301139,0.778644,0.0000,0.0000,0.000,54.8888,1,1.00,0.0000,0.0000,0,0.00,0,612.442,11.0265
0.864,-3.611728,-1.301138,0.802043,0.0000,0.0000,0.000,54.8887,1,1.00,0.0000,0.0000,0,0.00,0,612.648,11.0265
0.896,-3.611728,-1.301138,0.825514,0.0000,0.0000,0.000,54.8886,1,1.00,0.0000,0.0000,0,0.00,0,612.847,11.0265
0.928,-3.611728,-1.301138,0.849016,0.0000,0.0000,0.000,54.8885,1,1.00,0.0000,0.0000,0,0.00,0,613.037,11.0265
0.960,-3.611728,-1.301138,0.872513,0.0000,0.0000,0.000,54.8884,1,1.00,0.0000,0.0000,0,0.00,0,613.218,11.0265
0.992,-3.611727,-1.301138,0.895972,0.0000,0.0000,0.000,54.8883,1,1.00,0.0000,0.0000,0,0.00,0,613.390,11.0265
1.024,-3.611727,-1.301138,0.919367,0.0000,0.0000,0.000,54.8882,1,1.00,0.0000,0.0000,0,0.00,0,613.554,11.0265
1.056,-3.611727,-1.301138,0.942672,-0.0000,-0.0000,0.000,54.8881,1,1.00,0.0000,0.0000,0,0.00,0,613.708,11.0265
