grid_x,grid_y,x,y,total_light,timestamp,yaw,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15
-25,-15,-5.000000,-3.000000,0.000,0.832,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-25,-14,-5.000000,-2.800000,29.488,1.632,0.0,0.000,0.000,0.000,0.000,0.000,29.488,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-25,-13,-5.000000,-2.600000,207.689,2.432,0.0,0.000,0.000,0.000,106.489,72.609,28.590,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-25,-12,-5.000000,-2.400000,333.417,3.232,0.0,0.000,0.000,125.445,107.678,72.681,27.614,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-25,-11,-5.000000,-2.200000,460.653,4.032,0.0,0.000,125.004,127.591,108.822,72.681,26.555,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-25,-10,-5.000000,-2.000000,634.850,4.832,0.0,104.493,127.817,129.724,109.916,72.606,25.410,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.883
-25,-9,-5.000000,-1.800000,664.024,5.632,0.0,107.535,130.656,131.840,110.955,72.451,24.177,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.818,67.592
-25,-8,-5.000000,-1.600000,676.328,6.432,0.0,110.637,133.515,133.932,111.931,72.211,22.853,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.863,70.386
-25,-7,-5.000000,-1.400000,688.605,7.232,0.0,113.797,136.389,135.995,112.841,71.881,21.433,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,23.004,73.266
-25,-6,-5.000000,-1.200000,700.826,8.032,0.0,117.010,139.274,138.021,113.676,71.455,19.917,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.243,76.231
-25,-5,-5.000000,-1.000000,712.962,8.832,0.0,120.274,142.162,140.003,114.430,70.931,18.301,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,27.582,79.280
-25,-4,-5.000000,-0.800000,724.979,9.632,0.0,123.583,145.048,141.935,115.097,70.301,16.583,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,30.021,82.411
-25,-3,-5.000000,-0.600000,736.845,10.432,0.0,126.933,147.925,143.807,115.670,69.563,14.761,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,32.562,85.623
-25,-2,-5.000000,-0.400000,748.522,11.232,0.0,130.319,150.784,145.613,116.142,68.711,12.833,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,35.206,88.913
-25,-1,-5.000000,-0.200000,759.972,12.032,0.0,133.734,153.618,147.344,116.506,67.742,10.799,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,37.952,92.277
-25,0,-5.000000,0.000000,771.155,12.832,0.0,137.171,156.418,148.992,116.755,66.650,8.658,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,40.800,95.713
-25,1,-5.000000,0.200000,782.031,13.632,0.0,140.623,159.175,150.546,116.882,65.433,6.408,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,43.749,99.215
