nav.bearing,nav.cmdYaw,nav.snr,wpNav.state,wpNav.wpIdx,nav.gradAng,nav.gradR2,wlsCtrl.mapSize,timestamp_ms,stateEstimate.x,stateEstimate.y,nav.snr0,nav.snr1,nav.snr2,nav.snr3,nav.snr4,nav.snr5,nav.snr6,nav.snr7
0.0,0.0020133049692958593,0.7748414278030396,0,0,0.0,0.0,1,11921,-1.6414260244346224e-06,-0.000420195865444839,41,56,77,46,36,45,37,63
0.0,0.0020133049692958593,0.7748414278030396,0,0,0.0,0.0,1,12021,0.0003411188954487443,-0.0005677379667758942,41,56,77,46,36,45,37,63
0.0,0.0020133049692958593,0.7748414278030396,0,0,0.0,0.0,1,12121,-0.0005992495571263134,-0.0006436348776333034,41,56,77,46,36,45,37,63
0.0,0.0020133049692958593,0.7748414278030396,0,0,0.0,0.0,1,12221,0.00039078760892152786,-0.0002704826765693724,41,56,77,46,36,45,37,63
0.0,0.0020133049692958593,0.7748414278030396,0,0,0.0,0.0,1,12321,0.0003738352097570896,-0.0006869684439152479,41,56,77,46,36,45,37,63
0.0,-0.006234257481992245,1.0841079950332642,0,0,0.0,0.0,2,12421,0.00026869415887631476,-0.0005057478556409478,64,61,46,68,48,60,62,108
0.0,-0.006234257481992245,1.0841079950332642,0,0,0.0,0.0,2,12521,0.0001990387827390805,-0.00012754597992170602,64,61,46,68,48,60,62,108
0.0,-0.006234257481992245,1.0841079950332642,0,0,0.0,0.0,2,12621,0.00017572988872416317,-0.00041230773786082864,64,61,46,68,48,60,62,108
0.0,-0.006234257481992245,1.0841079950332642,0,0,0.0,0.0,2,12721,0.00020031591702718288,0.00024729245342314243,64,61,46,68,48,60,62,108
0.0,-0.006234257481992245,1.0841079950332642,0,0,0.0,0.0,2,12821,0.0002666872169356793,-8.441726095043123e-05,64,61,46,68,48,60,62,108
0.0,-0.006234257481992245,1.0841079950332642,0,0,0.0,0.0,2,12921,0.0002157763810828328,-8.035384234972298e-05,64,61,46,68,48,60,62,108
